index ,model,review,rating
1,SWARAJ 735 FE,This is a very good tractor liked the design,1
2,SWARAJ 735 FE,It has good efficiency. ,1
3,SWARAJ 735 FE,very bad experience so far,0
4,SWARAJ 735 FE,price is very high ,0
5,SWARAJ 735 FE,fuel capacity is not satisfactory,0
6,SWARAJ 735 FE,quiet good for a small farms,1
7,SWARAJ 735 FE,pretty genuine machinery and reliable overall very good,1
8,SWARAJ 735 FE,cheap and very great working,1
9,SWARAJ 735 FE,well working with great efficiency,1
10,SWARAJ 735 FE,yeah� very fine machine,1
11,SWARAJ 735 FE,For a homeowner looking for a mowing tractor that is something more than offered by the other stores,1
12,SWARAJ 735 FE,not good for anything,0
13,SWARAJ 735 FE,need to improve the quality of built is very poor,0
14,SWARAJ 735 FE,cool�that is the kind of machine I wanted to have,1
15,SWARAJ 735 FE,well and good price can be kept bit low,1
16,SWARAJ 735 FE,poor built quality,0
17,SWARAJ 735 FE,got defected one disappointed with the service,0
18,SWARAJ 735 FE,capable budget-friendly tractor niche.,1
19,SWARAJ 735 FE,classy modle good for small scale work,1
20,SWARAJ 735 FE,very poor efficiency,0
21,SWARAJ 735 FE,fantastic speed and great working,1
22,SWARAJ 735 FE,different than others but lacks in working at high rate,0
23,SWARAJ 735 FE,must stop selling such low grade tractors,0
24,SWARAJ 735 FE,not a good tractor cost for fuel is very much ,0
25,SWARAJ 735 FE,bad at performance,0
26,SWARAJ 735 FE,the worst tractor ever seen,0
27,SWARAJ 735 FE,quiet good material and performance,1
28,SWARAJ 735 FE,nice built and good for small farms,1
29,SWARAJ 735 FE,very efficient machinery at good rate,1
30,SWARAJ 735 FE,can improve a lot not so good working with,0
31,SWARAJ 735 FE,too expensive,0
32,SWARAJ 735 FE,efficiently working for small fields,1
33,SWARAJ 735 FE,poor material quality,0
34,SWARAJ 735 FE,well designed compact machine,1
35,SWARAJ 735 FE,the company need to improve the standard very bad experience,0
36,SWARAJ 735 FE,well working with great efficiency,1
37,SWARAJ 735 FE,poor built quality,0
38,SWARAJ 735 FE,got defected one disappointed with the service,0
39,SWARAJ 735 FE,great thing to work on open farms,1
40,SWARAJ 735 FE,highly expensive ,0
41,SWARAJ 735 FE,good according to its spec,1
42,SWARAJ 735 FE,yeah� very fine machine,1
43,SWARAJ 735 FE,the performance is not good,0
44,SWARAJ 735 FE,poor built and fuel capacity is very low,0
45,SWARAJ 735 FE,quiet good for a small farms,1
46,SWARAJ 735 FE,This is a very good tractor liked the design,1
47,SWARAJ 735 FE,very poor efficiency,0
48,SWARAJ 735 FE,the engine power is not so satisfactorY,0
49,SWARAJ 735 FE,It has good efficiency. ,1
50,SWARAJ 735 FE,efficiently working for small fields,1
51,PREET 6049,great price with awesome specs,1
52,PREET 6049,very poor efficiency,0
53,PREET 6049,engine power is good for any work,1
54,PREET 6049,the fuel capacity is much high than others keep it up,1
55,PREET 6049,great machinery at proper rate,1
56,PREET 6049,very nice working machine,1
57,PREET 6049,too much pollution not good for health,0
58,PREET 6049,very poor power management,0
