model,engine cc,   no of cylinders,power,fuel tank capacity,price,description,image
Eicher Engines 7.5 kVA Diesel Generator,-,1,11.5,50,192000,"We are offering Eicher Engines 7.5 kVA Air Cooled Genset to our clients.
",https://2.wlimg.com/product_images/bc-full/dir_52/1550658/eicher-diesel-generator-1736143.jpg
Eicher Engines 20 kVA Generator,-,2,24.7,100,"320,000",We are offering Eicher Engines 20 kVA Generator to our clients.,https://5.imimg.com/data5/MF/DR/MY-41277738/20-kva-diesel-genset-500x500.jpg
Eicher Engines 35 kVA Prime Genset,-,3,46.8,100,"325,000",We are offering Eicher Engines 35 kVA Prime Genset to our clients.,https://4.imimg.com/data4/XB/PH/ANDROID-760548/product-250x250.jpeg
62.5 kVA Prime Genset,-,3,80,125,"400,000",We are offering 62.5 kVA Prime Genset to our clients.,https://5.imimg.com/data5/RG/ID/MY-980787/kirloskar-diesel-generator-500x500.jpg
82.5 kVA Prime Genset,-,4,97.2,250,"505,000",We are offering Eicher 62.5 kVA Prime Genset to our clients.,https://5.imimg.com/data5/MJ/NG/MY-20631062/eicher-222-hs-agro-engine-500x500.jpg
125 kVA Prime Genset,-,4,156,250,"690,000",We are offering Eicher 125 kVA Prime Genset to our clients.,https://3.imimg.com/data3/CV/FX/MY-2176327/diesel-fuel-generator-set-500x500.jpg
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
